"appid","average_playtime","owners"
13620,2,150000
15000,20,150000
15080,29,35000
15100,360,750000
15120,1349,750000
15130,355,350000
15170,396,350000
15190,69,150000
15200,134,75000
15300,476,150000
15320,1812,350000
15370,6679,350000
15380,19,350000
15390,346,150000
15520,151,150000
15560,136,350000
15620,628,3500000
15700,387,3500000
15710,67,350000
15740,3,350000
15750,98,350000
15930,102,35000
16450,301,1500000
16600,382,75000
16710,264,150000
16720,9,350000
16730,90,350000
16810,1,1500000
17080,128,3500000
17300,313,1500000
17330,18,750000
17390,1142,3500000
17410,260,3500000
17430,916,350000
17440,171,750000
17450,2061,750000
17460,612,1500000
17470,295,3500000
17480,575,750000
17500,948,750000
17570,117,750000
17710,971,350000
17740,701,150000
18000,7,350000
18040,1008,150000
18070,14,150000
18120,37,75000
18300,126,75000
18400,66,150000
18480,1,35000
18500,455,750000
18700,17,350000
18820,373,150000
19000,58,150000
19200,39,150000
19500,9,10000
19800,164,150000
19830,43,150000
19900,257,1500000
19980,305,350000
20510,716,750000
20530,79,750000
20540,226,3500000
20570,186,1500000
20700,12,10000
20710,14,35000
20820,31,350000
20900,773,3500000
20920,838,3500000
21000,490,350000
21090,389,1500000
21100,310,1500000
21130,518,350000
21670,20,350000
21680,15,350000
21690,868,1500000
21800,384,150000
21980,13,350000
22000,194,1500000
22100,415,1500000
22120,188,350000
22180,37,750000
22200,307,350000
22230,235,350000
22300,588,750000
22310,29,75000
22320,1135,1500000
22330,1307,1500000
22350,181,1500000
22370,1242,3500000
22380,2485,3500000
22450,28,150000
22600,327,750000
22610,7,350000
22650,96,350000
22670,1,350000
23380,73,150000
23400,102,150000
23420,4975,75000
23450,319,350000
23490,291,1500000
23530,253,75000
23700,175,150000
24010,287,1500000
24200,2990,3500000
24240,444,3500000
24400,6,350000
24420,48,350000
24460,13,75000
24480,46,150000
24670,31,150000
24720,1905,750000
24740,431,1500000
24780,228,1500000
24790,646,750000
24800,136,1500000
24840,28,350000
24870,339,350000
24960,1200,3500000
24980,1087,1500000
25000,777,750000
25010,13,150000
25700,54,75000
25800,736,350000
25830,35,150000
25850,27,75000
25890,809,750000
25900,356,350000
25910,400,75000
25990,72,150000
26000,14,75000
26800,178,1500000
26900,20,750000
27000,49,150000
27330,129,75000
27400,105,150000
27810,9,35000
27920,10,35000
27940,82,75000
28000,282,750000
29160,9,35000
29180,27,750000
29800,120,350000
31270,69,750000
32200,91,35000
32310,97,150000
32340,14,150000
32350,6,750000
32360,58,750000
32370,660,3500000
32380,141,1500000
32390,30,750000
32400,99,1500000
32420,2,750000
32430,195,1500000
32440,243,750000
32470,395,1500000
32500,249,1500000
32510,196,350000
33120,169,350000
33130,137,150000
33180,247,150000
33230,1046,1500000
33320,328,350000
33460,358,350000
33570,149,150000
33600,1330,350000
33610,9,150000
33670,2486,150000
33680,466,75000
33900,752,1500000
33930,8488,3500000
34010,267,750000
34030,1251,3500000
34190,759,350000
34410,2,150000
34600,319,350000
34820,25,150000
34830,113,1500000
34870,234,1500000
34900,257,350000
34920,28,75000
35000,27,350000
35130,42,750000
35140,569,3500000
35450,771,3500000
35460,14,350000
35480,53,350000
35700,314,1500000
35720,421,3500000
36000,160,75000
37000,27,150000
37260,38,10000
37400,10,350000
37500,49,10000
37600,31,150000
37800,5,35000
38210,4,75000
38400,93,1500000
38410,86,1500000
38420,16,750000
38600,266,350000
38700,73,350000
38720,53,350000
38740,41,350000
39000,54,1500000
39120,4104,3500000
39140,2443,1500000
39150,2145,750000
39190,228,350000
39200,754,750000
39210,28897,1500000
39500,1401,750000
39510,102,350000
39520,28,150000
39540,2886,150000
39650,1014,750000
39680,1556,350000
39690,398,350000
39800,154,350000
40100,1834,1500000
40300,994,750000
40350,34,75000
40380,135,150000
40390,1278,1500000
40400,248,350000
40700,165,750000
40720,53,350000
40930,19,150000
40950,473,1500000
40970,247,1500000
40980,337,150000
40990,32,350000
41000,277,1500000
41070,378,3500000
41100,256,350000
41300,333,350000
41500,1108,1500000
41700,1969,1500000
41740,540,75000
41800,272,750000
41900,43,350000
42120,112,750000
42140,184,150000
42170,369,150000
42500,63,350000
42670,148,150000
42700,2672,3500000
42810,44,35000
42910,589,3500000
42960,2580,750000
42980,17,150000
42990,38,150000
43000,312,350000
43100,115,75000
43190,285,75000
44350,340,1500000
44360,3,150000
44680,1,10000
45100,176,150000
45300,1154,150000
45400,287,150000
45450,487,150000
45700,789,350000
45710,143,75000
45720,65,75000
45740,1108,750000
45750,879,150000
45760,835,750000
45770,435,350000
46260,422,150000
46400,28,150000
46410,56,350000
46440,3,75000
46450,20,150000
46480,13,150000
46500,293,750000
46510,227,750000
46520,101,150000
46540,142,150000
46570,105,75000
46790,399,10000
47400,506,750000
47410,329,1500000
47700,160,350000
47780,292,1500000
47790,133,1500000
47800,979,75000
47810,686,1500000
47870,467,1500000
47890,4730,3500000
48000,117,3500000
48110,1520,150000
48190,600,750000
48240,879,750000
48700,7932,3500000
48720,723,1500000
48950,38,350000
49470,935,350000
49520,3276,7500000
49600,437,750000
49800,22,75000
50000,1,75000
50130,1029,3500000
50300,293,3500000
50510,3,75000
55000,130,150000
55040,72,350000
55100,1772,3500000
55110,307,1500000
55140,1024,350000
55150,712,3500000
55230,1848,3500000
57200,8,150000
57300,173,3500000
57640,1177,350000
57650,112,350000
57680,36,150000
57690,518,3500000
57700,25,35000
57740,185,350000
57800,11,75000
57900,434,1500000
58200,3,150000
58230,229,35000
58400,14,75000
58520,284,350000
58550,8,150000
58570,1,150000
58610,11,750000
60600,33,75000
61100,127,75000
61310,30,150000
61500,161,150000
61520,151,150000
61600,133,350000
61700,1595,350000
61730,137,75000
62000,85,75000
62100,707,150000
63000,31,350000
63110,12,35000
63200,101,350000
63500,132,150000
63700,78,350000
63710,149,750000
63800,241,75000
63910,30,350000
63940,10,150000
64000,292,750000
65400,16,35000
65530,1244,350000
65540,409,350000
65560,28,350000
65600,1054,150000
65610,5,150000
65730,2,350000
65740,81,350000
65780,22,750000
65790,28,1500000
65800,1993,1500000
65930,201,3500000
65980,932,1500000
67000,4,150000
67370,191,1500000
70000,172,1500000
70100,189,350000
70110,242,350000
70120,46,350000
70200,387,35000
70300,76,1500000
70400,764,350000
70420,53,150000
70600,689,750000
70620,67,350000
70640,2,350000
70650,23,350000
70660,11,350000
70900,5,150000
71230,17,350000
71240,6,350000
71340,165,750000
72000,72,350000
72400,210,150000
72850,7089,15000000
73010,1,350000
73060,28,35000
73210,112,150000
78000,85,350000
80000,104,35000
80200,123,75000
80310,97,350000
80360,205,150000
91100,1329,350000
91200,200,750000
91330,155,75000
91600,153,1500000
91700,413,750000
91900,193,350000
92000,106,350000
92100,180,350000
92200,78,75000
92210,5,75000
92220,23,75000
92300,191,150000
92600,54,75000
92700,58,35000
92800,177,750000
93200,121,350000
94200,79,750000
94300,68,150000
94400,123,750000
94590,82,350000
95000,254,150000
95300,152,350000
95400,255,350000
95700,12,150000
95900,20,75000
96000,284,3500000
96100,158,1500000
96200,280,350000
96800,9,350000
97000,229,350000
97100,53,350000
97330,1070,350000
98100,7,350000
98200,183,750000
98300,148,350000
98400,158,750000
98600,101,75000
98800,800,750000
99300,18,750000
99700,21,750000
99900,275,3500000
99910,107,350000
102200,96,150000
102500,252,750000
102600,159,1500000
102810,21,35000
102840,297,750000
104000,112,75000
104200,140,750000
104900,263,3500000
105000,101,350000
105100,8,75000
105450,902,3500000
105600,5585,7500000
105700,17,75000
105800,65,350000
107100,391,3500000
107200,225,750000
107300,30,750000
107310,351,750000
107410,18823,3500000
107600,11,150000
108200,607,350000
108210,7,350000
108500,21,350000
108600,658,750000
108710,239,3500000
108800,176,3500000
109600,1273,7500000
110800,428,1500000
111100,199,150000
111400,27,150000
111600,527,750000
112100,13,350000
113020,183,3500000
113200,1849,3500000
113400,3835,7500000
113420,107,3500000
115100,219,350000
115110,238,350000
115120,21,150000
115200,17,75000
115220,2,150000
115320,698,750000
115800,613,350000
200010,162,350000
200130,61,35000
200170,445,1500000
200210,3531,3500000
200260,1554,3500000
200370,991,75000
200390,9,350000
200490,4,35000
200510,1470,3500000
200550,3,150000
200710,1037,3500000
200900,150,750000
201070,8,35000
201210,2,350000
201230,548,750000
201290,145,350000
201420,109,350000
201480,18,750000
201510,19,350000
201570,247,750000
201790,429,3500000
201810,539,1500000
201870,1153,750000
202130,76,150000
202200,13,750000
202370,31,10000
202410,17,75000
202690,5,35000
202710,149,150000
202730,9,150000
202750,71,1500000
202970,524,3500000
203140,650,3500000
203160,527,7500000
203210,189,150000
203290,89,3500000
203350,593,350000
203510,27,150000
203630,115,750000
203650,577,350000
203680,42,150000
203750,639,750000
203770,1366,3500000
203830,290,350000
203990,87,75000
204030,494,750000
204060,73,750000
204100,464,1500000
204120,1904,350000
204180,125,750000
204220,89,350000
204240,129,750000
204300,999,3500000
204340,233,750000
204360,1094,3500000
204530,2974,350000
204630,540,350000
204860,115,150000
204880,507,3500000
204940,60,75000
204960,182,35000
205020,29,350000
205100,749,3500000
205190,1371,350000
205230,188,1500000
205550,26,75000
205610,64,350000
205650,1,350000
205710,20,750000
205730,275,350000
205830,94,75000
205840,126,150000
205910,207,750000
205950,207,1500000
206190,212,750000
206210,120,3500000
206250,541,35000
206370,183,150000
206420,1279,3500000
206440,200,1500000
206480,557,750000
206500,441,1500000
206610,260,350000
206690,82,350000
207080,218,350000
207140,421,1500000
207170,314,750000
207230,640,3500000
207250,70,150000
207320,635,150000
207350,826,350000
207370,97,75000
207380,147,75000
207400,127,75000
207420,504,350000
207430,133,150000
207490,266,350000
207530,219,75000
207570,3,350000
207650,92,350000
207690,16,350000
207750,321,350000
207930,220,750000
208140,1102,1500000
208200,644,750000
208460,30,10000
208500,1623,350000
208520,209,350000
208580,990,3500000
208600,411,75000
208650,1266,1500000
208670,105,350000
208730,1042,350000
208750,716,350000
209000,538,3500000
209060,167,75000
209080,275,3500000
209100,237,150000
209120,136,150000
209160,266,1500000
209190,373,350000
209330,84,350000
209370,167,150000
209390,487,35000
209520,121,75000
209540,57,350000
209650,250,750000
209670,199,1500000
209690,130,150000
209730,24,350000
209790,21,150000
209830,93,750000
209950,170,75000
210170,135,350000
210770,293,3500000
210870,33,35000
210950,316,150000
210970,630,750000
211010,47,75000
211160,43,1500000
211180,58,75000
211260,300,350000
211360,134,350000
211400,307,750000
211440,69,350000
211500,81,3500000
211580,152,150000
211600,230,750000
211740,1584,350000
211800,239,35000
211820,3556,3500000
211970,1350,10000
212010,361,350000
212030,98,150000
212050,219,75000
212070,4623,3500000
212110,268,35000
212160,408,1500000
212390,48,750000
212500,892,3500000
212630,229,350000
212680,1111,3500000
212700,290,75000
212800,34,1500000
213330,988,350000
213610,805,750000
213650,30,750000
213670,1045,3500000
213850,1149,750000
214150,22,350000
214170,39,750000
214250,408,350000
214340,217,750000
214360,239,350000
214420,139,3500000
214490,563,1500000
214550,128,350000
214570,71,75000
214590,159,150000
214610,222,75000
214770,245,750000
214790,315,350000
214830,254,350000
214870,189,750000
214950,5760,3500000
214970,85,350000
215080,2258,1500000
215160,62,350000
215280,645,1500000
215470,423,350000
215510,92,350000
215530,572,750000
215550,5,75000
215630,654,150000
215670,21,350000
215690,156,350000
215770,58,35000
215790,273,350000
215830,194,750000
215870,1,350000
215930,526,350000
216090,458,35000
216110,35,150000
216150,71,1500000
216290,9,75000
216890,342,350000
216910,143,350000
217140,280,350000
217200,246,750000
217690,269,350000
217750,148,750000
217920,317,350000
218060,57,750000
218090,8368,150000
218230,1051,7500000
218410,899,350000
218510,299,750000
218620,3975,15000000
218640,172,750000
218680,630,1500000
218740,61,750000
218820,348,350000
219150,380,3500000
219190,84,75000
219200,8,75000
219340,95245,350000
219640,675,7500000
219680,36,350000
219700,29,350000
219760,13,750000
219780,2511,750000
219830,384,350000
219890,176,1500000
219910,170,350000
219950,9,350000
219990,3651,1500000
220090,303,350000
220160,501,350000
220200,9223,3500000
220240,836,3500000
220260,705,750000
220440,533,1500000
220460,663,150000
220700,405,750000
220740,227,350000
220780,72,750000
220820,338,350000
220860,136,350000
220900,140,150000
221020,2365,150000
221040,1602,1500000
221100,7235,3500000
221260,177,750000
221380,1569,7500000
221540,3601,150000
221640,140,1500000
221680,6704,750000
221810,217,350000
221910,170,3500000
222140,186,150000
222480,683,750000
222520,43,350000
222640,144,75000
222730,1293,750000
222750,1069,750000
222880,712,3500000
222940,451,750000
222980,117,350000
223100,408,750000
223220,177,750000
223410,269,35000
223470,257,1500000
223510,171,150000
223710,3830,3500000
223730,76,150000
223750,2343,3500000
223810,124,150000
223830,880,350000
224260,2661,7500000
224300,522,350000
224460,91,350000
224480,174,750000
224500,261,350000
224600,953,3500000
224740,470,35000
224760,144,1500000
224820,564,150000
224860,76,350000
224900,414,350000
224920,77,350000
224940,50,350000
224960,25,750000
224980,20,750000
225000,10,750000
225020,1995,750000
225080,128,1500000
225160,124,350000
225260,461,3500000
225280,319,350000
225300,3,750000
225320,34,750000
225360,75,150000
225420,157,750000
225540,2086,3500000
225600,413,350000
225640,69,750000
225840,407,3500000
226580,1508,150000
226720,155,350000
226740,180,350000
226820,1642,10000
226840,984,750000
226860,199,750000
226960,142,75000
227000,234,150000
227080,158,350000
227100,365,350000
227160,33,150000
227200,229,350000
227220,203,350000
227300,4942,7500000
227560,289,150000
227580,333,150000
227600,147,150000
227780,27,150000
227800,105,35000
227860,272,350000
227920,16,35000
227940,1752,15000000
228200,1475,750000
228260,1610,350000
228280,569,750000
228300,276,750000
228360,15,150000
228380,778,750000
228440,440,150000
228760,3793,150000
228960,329,150000
229520,200,75000
229580,58,75000
229810,267,150000
229870,507,75000
230050,126,350000
230070,297,150000
230190,471,350000
230270,494,150000
230290,120,350000
230410,5845,35000000
230700,583,350000
230820,96,350000
230840,184,75000
230980,62,350000
231020,217,35000
231040,99,350000
231140,19,350000
231160,129,750000
231310,252,75000
231430,1846,3500000
231720,339,75000
231740,709,350000
232010,315,1500000
232050,272,1500000
232090,2967,3500000
232430,90,750000
232750,346,350000
232770,137,350000
232790,271,750000
232890,259,750000
232910,6516,750000
232950,2,150000
233130,319,3500000
233150,260,350000
233190,196,150000
233270,249,1500000
233290,282,750000
233310,4,75000
233350,217,150000
233450,1472,3500000
233470,237,350000
233510,82,35000
233550,102,150000
233610,887,150000
233720,266,1500000
233740,203,350000
233840,533,750000
233860,1756,350000
233980,392,350000
234080,706,350000
234140,1030,3500000
234160,168,150000
234190,77,750000
234270,101,75000
234290,66,75000
234350,10,35000
234390,117,750000
234490,63,150000
234630,232,1500000
234650,278,1500000
234670,1360,750000
234900,128,150000
234920,258,75000
234940,218,350000
235070,83,35000
235210,324,750000
235250,121,150000
235320,232,150000
235340,28,750000
235360,739,150000
235380,221,75000
235400,19,350000
235460,863,750000
235540,1200,1500000
235600,669,750000
235620,1364,150000
235720,36,350000
235800,507,350000
235980,1107,75000
236090,370,1500000
236110,523,3500000
236130,84,75000
236150,326,750000
236370,112,350000
236390,4200,15000000
236430,2377,1500000
236450,67,350000
236490,9,10000
236510,80,350000
236690,1433,350000
236730,87,350000
236790,5,75000
236850,8138,1500000
237310,796,1500000
237470,34,35000
237550,1,75000
237570,315,350000
237630,240,350000
237740,157,150000
237760,75,35000
237850,335,350000
237870,545,350000
237890,272,150000
237930,353,1500000
237950,2380,350000
237990,164,750000
238010,947,1500000
238050,37,150000
238090,321,1500000
238210,256,750000
238260,6,750000
238320,751,3500000
238370,198,1500000
238430,366,1500000
238460,774,3500000
238750,274,150000
238890,68,150000
238910,249,350000
238930,178,150000
238960,5263,15000000
239030,674,3500000
239070,288,750000
239120,138,350000
239140,2033,3500000
239160,276,1500000
239200,100,3500000
239250,732,350000
239430,63,350000
239800,132,150000
239820,807,1500000
239840,1264,75000
240320,2218,1500000
240440,316,75000
240620,201,35000
240720,169,1500000
240760,564,750000
240970,637,75000
241240,102,350000
241260,464,150000
241300,444,10000
241320,266,150000
241410,950,150000
241560,657,350000
241600,769,1500000
241720,103,150000
241910,239,350000
242050,3234,1500000
242110,391,350000
242570,87,350000
242640,243,750000
242680,682,750000
242700,288,1500000
242720,450,3500000
242760,2417,3500000
242780,111,75000
242820,205,350000
242840,286,75000
242860,3846,1500000
242880,98,750000
242920,1209,1500000
243120,112,350000
243160,373,150000
243200,168,350000
243280,217,35000
243360,466,150000
243450,166,150000
243470,1176,750000
243780,135,350000
243800,137,350000
243930,731,350000
243950,430,350000
243970,325,750000
244030,13,75000
244050,37,350000
244070,175,750000
244090,193,750000
244160,353,750000
244210,3107,750000
244450,4678,750000
244590,139,350000
244690,81,75000
244710,77,350000
244730,238,350000
244770,2957,350000
244850,3739,3500000
244870,242,150000
244910,130,35000
244930,8180,1500000
245170,347,1500000
245280,185,350000
245370,577,75000
245390,100,150000
245470,752,750000
245490,418,350000
245620,292,1500000
246070,46,350000
246090,228,150000
246110,56,350000
246420,225,350000
246580,175,350000
246620,585,1500000
246680,6,150000
246700,97,150000
246740,3,150000
246760,506,150000
246840,11,150000
246880,1,10000
246900,589,750000
246960,99,150000
247000,332,350000
247020,381,350000
247080,326,1500000
247140,130,75000
247240,231,350000
247430,15,750000
247660,318,350000
247730,257,750000
247870,281,35000
247950,182,350000
248190,228,75000
248310,259,350000
248350,96,35000
248390,1891,350000
248470,130,75000
248530,288,350000
248550,57,350000
248570,130,3500000
248610,366,750000
248630,22,75000
248650,84,150000
248820,946,1500000
248860,906,150000
249050,648,750000
249130,4034,750000
249230,412,750000
249330,86,150000
249360,298,75000
249570,38,10000
249590,449,350000
249610,112,75000
249650,174,750000
249680,57,150000
249870,124,350000
249990,241,750000
250050,151,150000
250070,162,10000
250110,379,150000
250180,212,750000
250260,305,350000
250320,675,1500000
250340,625,350000
250380,507,75000
250400,333,1500000
250420,31,750000
250460,158,350000
250500,270,150000
250520,29,150000
250560,283,150000
250580,321,150000
250600,8,750000
250620,83,350000
250640,416,35000
250660,425,35000
250680,72,10000
250700,133,150000
250760,501,750000
250900,4583,3500000
251060,1702,750000
251130,188,350000
251150,3755,350000
251170,450,350000
251230,252,75000
251310,208,35000
251470,337,350000
251530,261,150000
251570,2953,3500000
251690,91,150000
251710,141,150000
251730,951,350000
251770,48,75000
251850,173,75000
251870,184,350000
251890,693,35000
251910,135,150000
251950,10,350000
251990,350,350000
252010,294,150000
252030,1234,150000
252050,108,35000
252110,249,350000
252130,140,150000
252170,152,150000
252230,68,35000
252250,19,75000
252270,133,75000
252290,3,75000
252310,173,150000
252330,46,350000
252350,182,150000
252410,169,750000
252450,833,75000
252470,1244,150000
252490,9352,7500000
252530,7999,150000
252610,1139,350000
252630,186,350000
252670,260,350000
252690,43074,35000
252710,1,35000
252870,1159,150000
252910,44,75000
252950,5825,7500000
253030,172,750000
253110,229,150000
253150,430,35000
253230,377,350000
253250,644,350000
253290,432,75000
253330,248,150000
253370,198,150000
253390,247,150000
253430,192,350000
253490,3,350000
253510,273,150000
253570,8,35000
253610,48,75000
253690,132,75000
253710,163,7500000
253750,454,150000
253770,47,75000
253790,495,10000
253840,309,150000
253860,255,350000
253880,342,350000
253900,239,750000
253960,297,350000
253980,213,1500000
254060,254,750000
254080,290,750000
254200,2902,150000
254300,244,75000
254440,1047,350000
254700,1073,750000
254960,39,350000
255070,173,350000
255220,228,750000
255280,232,150000
255300,280,150000
255320,186,350000
255370,195,150000
255420,1986,350000
255710,3225,7500000
255870,221,150000
255940,1,150000
255960,2,35000
256010,269,35000
256190,116,350000
256290,605,750000
256390,309,35000
256460,283,35000
257030,187,35000
257050,270,150000
257120,107,150000
257170,6704,150000
257260,3,10000
257350,1163,750000
257510,230,1500000
257690,1,35000
257710,49,150000
257730,153,750000
257750,207,750000
257830,74,150000
257850,275,750000
257970,392,75000
257990,194,75000
258010,231,150000
258050,134,150000
258090,380,75000
258180,81,750000
258200,231,350000
258220,773,75000
258520,185,750000
258760,330,750000
258880,967,150000
258910,529,150000
258950,125,35000
258970,152,750000
259020,152,350000
259060,74,75000
259080,431,1500000
259130,82,750000
259170,86,75000
259190,6,35000
259320,282,350000
259340,326,150000
259390,504,150000
259410,82,10000
259470,206,35000
259510,346,150000
259550,306,150000
259570,195,35000
259600,139,150000
259620,204,75000
259660,9,75000
259680,7117,350000
259740,61,150000
259810,13,10000
259830,121,35000
259870,422,35000
259890,191,75000
259910,20,35000
260130,943,75000
260210,934,150000
260230,509,350000
260250,205,75000
260410,7,350000
260430,388,350000
260550,753,35000
260750,170,350000
260790,214,75000
261110,278,1500000
261180,258,750000
261470,209,75000
261490,150,150000
261510,82,350000
261640,1661,3500000
261700,159,75000
261760,351,150000
262000,305,75000
262060,1121,3500000
262120,57,75000
262150,245,350000
262210,105,35000
262240,308,35000
262260,5,75000
262280,282,1500000
262390,171,150000
262410,99,3500000
262470,172,150000
262490,129,35000
262550,31,75000
262750,810,35000
262770,75,35000
262830,376,150000
262850,282,150000
262920,202,35000
262940,184,350000
262960,862,75000
263020,407,75000
263060,253,750000
263080,14,35000
263100,17,35000
263280,1922,1500000
263300,174,350000
263320,710,150000
263360,170,75000
263400,399,75000
263460,262,150000
263500,137,1500000
263540,142,750000
263560,480,75000
263620,254,150000
263700,5,75000
263740,5,150000
263760,295,350000
263820,74,75000
263860,139,150000
263880,37,35000
263980,137,750000
264000,157,35000
264120,115,350000
264200,149,750000
264240,151,350000
264280,157,75000
264300,64,150000
264340,250,35000
264380,5,350000
264480,314,75000
264540,679,150000
264560,75,35000
264710,1446,3500000
264730,143,150000
265000,822,75000
265120,162,150000
265170,530,35000
265210,140,750000
265300,456,750000
265330,108,150000
265380,214,150000
265550,596,750000
265590,243,1500000
265610,384,350000
265630,3079,3500000
265670,90,75000
265690,8,150000
265770,1,350000
265830,89,150000
265870,123,75000
265890,49,350000
265930,309,3500000
266010,176,350000
266030,12,150000
266050,365,75000
266110,740,350000
266130,67,350000
266150,27,350000
266170,2075,75000
266210,547,350000
266290,15,35000
266310,83,350000
266390,467,75000
266410,4,35000
266430,42,750000
266510,371,750000
266840,668,1500000
267060,431,75000
267360,142,35000
267490,129,750000
267530,570,350000
267610,34,75000
267900,147,75000
267920,213,350000
267940,4,350000
267980,244,350000
268050,635,750000
268130,693,350000
268200,162,75000
268240,283,150000
268320,432,35000
268420,485,3500000
268500,1891,1500000
268540,132,350000
268650,716,350000
268750,450,350000
268850,382,1500000
268870,233,750000
268910,620,1500000
269010,64,35000
269050,37,150000
269210,803,1500000
269250,732,150000
269270,291,75000
269290,26,10000
269310,435,75000
269330,192,150000
269370,180,75000
269490,354,150000
269570,20,35000
269710,466,350000
269770,2343,150000
269790,148,350000
269810,76,35000
269890,54,75000
269950,44169,150000
270010,374,10000
270090,206,150000
270150,97,350000
270170,18,350000
270210,40,150000
270270,338,35000
270330,135,35000
270450,303,350000
270490,52,75000
270550,192,3500000
270570,151,350000
270630,58,75000
270770,19,150000
270810,246,150000
270850,128,750000
270880,2086,1500000
271240,237,750000
271500,7,350000
271550,243,150000
271570,96,350000
271590,9837,15000000
271640,258,350000
271670,150,75000
271730,231,75000
271760,141,75000
271820,633,150000
271860,222,350000
271920,6,350000
271970,529,35000
272040,275,150000
272060,15924,750000
272270,314,150000
272330,1,35000
272470,312,350000
272510,969,350000
272890,36,350000
273030,15,35000
273110,4047,7500000
273500,17,150000
273730,61,10000
273760,6,35000
273770,240,150000
274170,447,1500000
274190,498,1500000
274230,441,150000
274250,16,150000
274270,216,150000
274290,155,350000
274310,296,350000
274350,70,150000
274500,437,350000
274520,417,350000
274560,214,750000
274900,206,750000
274920,466,750000
274940,791,1500000
274980,124,150000
275080,251,150000
275100,157,350000
275200,352,150000
275390,249,350000
275470,260,350000
275490,169,350000
275510,457,75000
275530,2287,150000
275670,373,350000
275850,2004,1500000
276810,1441,350000
276890,220,75000
277430,251,350000
277450,72,150000
277460,1,75000
277470,270,75000
277490,5,75000
277500,302,75000
277680,170,75000
277850,73,35000
277870,91,75000
277890,298,150000
278080,200,350000
278100,95,350000
278360,193,7500000
