"appid","percent","owners"
32400,0.9,1500000
32410,0.7,35000
32420,0.37,750000
32430,0.62,1500000
32440,0.92,750000
32450,0.74,75000
32460,0.95,350000
32470,0.94,1500000
32500,0.58,1500000
32510,0.85,350000
32610,0.58,10000
32620,0.9,35000
32630,0.86,35000
32640,0.92,35000
32650,0.81,35000
32660,0.75,10000
32670,0.92,35000
32680,0.91,35000
32710,0.77,35000
32720,0.73,35000
32730,0.64,35000
32740,0.8,35000
32750,0.85,35000
32760,0.87,35000
32770,0.88,10000
32900,0.63,75000
33100,0.9,350000
33110,0.66,350000
33120,0.92,350000
33130,0.85,150000
33180,0.77,150000
33230,0.85,1500000
33320,0.66,350000
33390,0.79,10000
33460,0.64,350000
33520,0.87,350000
33570,0.77,150000
33600,0.89,350000
33610,0.52,150000
33620,0.78,35000
33650,0.89,75000
33660,0.75,10000
33670,0.55,150000
33680,0.91,75000
33760,0.2,10000
33770,0.81,75000
33790,0.55,10000
33900,0.83,1500000
33930,0.92,3500000
33950,0.73,150000
33980,0.61,35000
33990,0.49,35000
34010,0.8,750000
34030,0.9,3500000
34190,0.78,350000
34410,0.86,150000
34420,0.49,75000
34500,0.82,35000
34600,0.73,350000
34630,0.75,10000
34640,0.85,10000
34800,0.67,35000
34810,0.75,35000
34820,0.79,150000
34830,0.55,1500000
34870,0.71,1500000
34900,0.78,350000
34920,0.24,75000
35000,0.86,350000
35070,0.67,75000
35130,0.91,750000
35140,0.96,3500000
35300,0.74,75000
35310,0.67,35000
35320,0.83,75000
35450,0.92,3500000
35460,0.74,350000
35480,0.78,350000
35600,0.54,35000
35700,0.96,1500000
35720,0.96,3500000
35800,0.85,75000
36000,0.62,75000
36100,0.96,10000
36130,0.8,10000
36180,0.72,10000
36210,0.79,10000
36240,1.0,10000
36300,0.72,10000
36310,0.92,10000
36320,0.57,10000
36900,0.0,10000
36910,0.27,10000
37000,0.82,150000
37010,0.64,35000
37030,0.74,150000
37100,0.71,35000
37210,0.69,10000
37220,0.75,10000
37230,0.87,10000
37240,0.28,10000
37260,0.94,10000
37270,1.0,10000
37280,0.81,10000
37300,0.62,10000
37310,0.29,10000
37320,0.4,10000
37330,0.75,10000
37340,1.0,10000
37370,0.75,10000
37380,0.45,10000
37390,0.92,10000
37400,0.81,350000
37500,0.79,10000
37600,0.91,150000
37700,0.71,10000
37800,0.65,35000
37960,0.86,10000
38000,0.91,10000
38070,0.92,10000
38080,0.85,10000
38090,1.0,10000
38100,1.0,10000
38110,0.57,10000
38120,0.9,10000
38130,0.89,10000
38140,0.94,10000
38150,0.88,10000
38160,1.0,10000
38170,0.89,10000
38180,1.0,10000
38190,0.44,10000
38210,0.81,75000
38230,0.41,35000
38400,0.92,1500000
38410,0.94,1500000
38420,0.8,750000
38430,0.8,35000
38450,0.75,35000
38460,0.83,35000
38490,0.75,35000
38600,0.91,350000
38700,0.88,350000
38720,0.9,350000
38740,0.92,350000
39000,0.89,1500000
39110,0.78,75000
39120,0.75,3500000
39140,0.93,1500000
39150,0.89,750000
39190,0.75,350000
39200,0.7,750000
39210,0.82,1500000
39500,0.8,750000
39510,0.89,350000
39520,0.7,150000
39540,0.82,150000
39560,0.33,150000
39630,0.73,150000
39640,0.75,150000
39650,0.66,750000
39660,0.69,350000
39670,0.73,75000
39680,0.8,350000
39690,0.49,350000
39800,0.88,350000
39900,0.48,10000
40100,0.86,1500000
40200,0.75,10000
40210,1.0,10000
40300,0.87,750000
40320,0.87,35000
40330,0.81,75000
40340,0.78,35000
40350,0.89,75000
40380,0.8,150000
40390,0.77,1500000
40400,0.84,350000
40420,0.66,150000
40500,0.25,35000
40700,0.95,750000
40720,0.83,350000
40930,0.88,150000
40950,0.94,1500000
40970,0.96,1500000
40980,0.77,150000
40990,0.91,350000
41000,0.94,1500000
41070,0.89,3500000
41100,0.67,350000
41300,0.92,350000
41400,0.29,10000
41500,0.92,1500000
41600,0.49,10000
41660,0.5,10000
41680,0.25,10000
41700,0.96,1500000
41740,0.78,75000
41800,0.75,750000
41900,0.77,350000
42000,0.64,10000
42120,0.73,750000
42140,0.67,150000
42170,0.57,150000
42210,0.68,35000
42220,0.86,10000
42230,0.73,10000
42500,0.6,350000
42670,0.92,150000
42700,0.89,3500000
42810,0.7,35000
42850,0.85,75000
42890,0.89,150000
42910,0.91,3500000
42920,0.36,75000
42930,0.73,35000
42940,0.57,75000
42950,0.82,35000
42960,0.88,750000
42980,0.68,150000
42990,0.43,150000
43000,0.61,350000
43100,0.79,75000
43190,0.86,75000
43500,0.45,35000
43600,0.9,35000
44100,0.87,35000
44350,0.8,1500000
44360,0.68,150000
44600,0.61,75000
44680,0.92,10000
44690,0.89,150000
45000,0.91,75000
45100,0.84,150000
45300,0.68,150000
45400,0.92,150000
45410,0.57,75000
45420,0.91,10000
45450,0.91,150000
45700,0.92,350000
45710,0.49,75000
45720,0.59,75000
45730,0.48,35000
45740,0.74,750000
45750,0.66,150000
45760,0.88,750000
45770,0.79,350000
46000,0.7,75000
46200,0.72,35000
46250,0.7,150000
46260,0.78,150000
46270,0.81,75000
46280,0.45,75000
46290,0.57,150000
46340,0.63,150000
46350,0.51,75000
46360,0.66,75000
46370,0.49,75000
46380,0.45,75000
46400,0.41,150000
46410,0.67,350000
46440,0.29,75000
46450,0.61,150000
46480,0.81,150000
46490,0.44,150000
46500,0.89,750000
46510,0.85,750000
46520,0.58,150000
46540,0.39,150000
46550,0.53,150000
46570,0.54,75000
46600,0.77,35000
46700,0.23,35000
46710,0.42,35000
46720,0.2,10000
46730,0.26,10000
46740,0.31,35000
46750,0.63,75000
46760,0.32,35000
46770,0.77,35000
46790,0.54,10000
46830,0.35,35000
46840,0.2,35000
46850,0.63,10000
47110,0.4,10000
47120,1.0,10000
47130,0.71,10000
47400,0.29,750000
47410,0.65,1500000
47700,0.18,350000
47730,0.93,150000
47780,0.95,1500000
47790,0.7,1500000
47800,0.65,75000
47810,0.92,1500000
47870,0.8,1500000
47890,0.82,3500000
47920,0.63,350000
48000,0.94,3500000
48110,0.41,150000
48150,0.8,10000
48190,0.88,750000
48240,0.61,750000
48700,0.97,3500000
48720,0.86,1500000
48800,0.46,150000
48950,0.85,350000
49000,0.8,10000
49300,0.45,75000
49320,0.57,35000
49470,0.88,350000
49520,0.93,7500000
49600,0.95,750000
49800,0.39,75000
49810,0.82,75000
49900,0.68,150000
50000,0.95,75000
50130,0.94,3500000
50300,0.93,3500000
50510,0.41,75000
50910,1.0,10000
50920,0.67,10000
50930,0.4,10000
50940,0.83,10000
50960,0.85,10000
50970,0.71,10000
50980,0.75,10000
50990,0.96,10000
51000,0.67,10000
51010,0.69,10000
51020,0.83,10000
51030,0.86,10000
51060,0.87,10000
55000,0.87,150000
55040,0.89,350000
55100,0.6,3500000
55110,0.73,1500000
55140,0.82,350000
55150,0.91,3500000
55230,0.96,3500000
57000,0.91,35000
57200,0.91,150000
57300,0.94,3500000
57620,0.54,150000
57640,0.91,350000
57650,0.45,350000
57680,0.69,150000
57690,0.91,3500000
57700,0.7,35000
57740,0.68,350000
57800,0.46,75000
57900,0.66,1500000
58200,0.89,150000
58230,0.84,35000
58400,0.36,75000
58520,0.75,350000
58550,0.32,150000
58560,0.85,150000
58570,0.86,150000
58610,0.77,750000
60340,0.66,75000
60350,0.88,35000
60600,0.58,75000
60700,0.26,10000
60800,0.49,75000
61100,0.76,75000
61310,0.76,150000
61500,0.77,150000
61510,0.79,75000
61520,0.87,150000
61600,0.87,350000
61700,0.89,350000
61730,0.95,75000
62000,0.92,75000
62100,0.94,150000
63000,0.8,350000
63110,0.7,35000
63200,0.78,350000
63500,0.78,150000
63610,0.74,150000
63650,0.79,75000
63660,0.66,75000
63700,0.81,350000
63710,0.86,750000
63800,0.59,75000
63900,0.8,75000
63910,0.91,350000
63940,0.62,150000
63960,0.4,75000
64000,0.87,750000
65070,0.5,35000
65080,0.74,35000
65270,0.84,35000
65400,0.84,35000
65500,0.57,75000
65530,0.6,350000
65540,0.87,350000
65560,0.51,350000
65600,0.49,150000
65610,0.35,150000
65710,0.83,35000
65730,0.57,350000
65740,0.45,350000
65780,0.72,750000
65790,0.77,1500000
65800,0.92,1500000
65930,0.7,3500000
65980,0.54,1500000
67000,0.74,150000
67370,0.91,1500000
70000,0.84,1500000
70100,0.66,350000
70110,0.56,350000
70120,0.37,350000
70200,0.76,35000
70210,0.84,35000
70300,0.96,1500000
70400,0.97,350000
70420,0.75,150000
70500,0.75,35000
70600,0.87,750000
70620,0.82,350000
70640,0.86,350000
70650,0.5,350000
70660,0.43,350000
70900,0.84,150000
71000,0.79,75000
71230,0.82,350000
71240,0.84,350000
71260,0.89,150000
71340,0.92,750000
72000,0.86,350000
72400,0.75,150000
72850,0.94,15000000
72900,0.64,75000
73010,0.77,350000
73060,0.32,35000
73170,0.88,150000
73190,0.44,35000
73210,0.65,150000
73220,0.65,35000
78000,0.95,350000
80000,0.29,35000
80200,0.77,75000
80300,0.74,75000
80310,0.9,350000
80330,0.89,150000
80340,0.93,150000
80350,0.96,150000
80360,0.97,150000
90200,0.83,75000
90400,0.82,35000
91100,0.89,350000
91200,0.87,750000
91330,0.61,75000
91600,0.9,1500000
91700,0.83,750000
91800,0.9,35000
91810,0.75,35000
91900,0.84,350000
92000,0.61,350000
92100,0.62,350000
92200,0.94,75000
92210,0.83,75000
92220,0.85,75000
92300,0.69,150000
92400,0.73,10000
92600,0.76,75000
92700,0.31,35000
92800,0.92,750000
92900,0.51,35000
93200,0.84,350000
94000,0.55,35000
94200,0.95,750000
94300,0.92,150000
94400,0.88,750000
94590,0.87,350000
94620,0.92,350000
95000,0.77,150000
95300,0.77,350000
95400,0.94,350000
95700,0.94,150000
95900,0.6,75000
96000,0.87,3500000
96100,0.86,1500000
96200,0.61,350000
96800,0.61,350000
96900,0.63,10000
97000,0.91,350000
97100,0.77,350000
97110,0.84,10000
97120,0.89,10000
97130,0.92,35000
97330,0.88,350000
98100,0.69,350000
98200,0.82,750000
98300,0.91,350000
98400,0.83,750000
98500,0.53,150000
98600,0.79,75000
98800,0.94,750000
98900,0.61,75000
99100,0.26,150000
99120,0.59,10000
99300,0.86,750000
99400,0.48,75000
99410,0.33,35000
99700,0.88,750000
99900,0.83,3500000
99910,0.8,350000
100980,0.94,10000
102200,0.77,150000
102400,0.69,35000
102500,0.88,750000
102600,0.97,1500000
102810,0.81,35000
102840,0.82,750000
102850,0.73,35000
104000,0.74,75000
104020,0.71,35000
104100,0.69,10000
104200,0.85,750000
104900,0.74,3500000
105000,0.76,350000
105100,0.45,75000
105300,0.79,150000
105420,0.77,75000
105450,0.88,3500000
105600,0.97,7500000
105700,0.62,75000
105800,0.8,350000
107100,0.96,3500000
107200,0.92,750000
107300,0.84,750000
107310,0.93,750000
107410,0.89,3500000
107600,0.94,150000
108110,0.32,75000
108200,0.84,350000
108210,0.6,350000
108500,0.89,350000
108600,0.87,750000
108700,0.7,75000
108710,0.91,3500000
108800,0.82,3500000
109200,0.78,10000
109500,0.6,35000
109600,0.78,7500000
109700,0.63,35000
110400,0.75,75000
110500,0.68,75000
110600,0.54,35000
110610,0.73,35000
110630,0.62,35000
110800,0.86,1500000
111000,0.56,10000
111010,0.67,10000
111100,0.82,150000
111400,0.47,150000
111600,0.85,750000
112100,0.82,350000
113020,0.91,3500000
113200,0.96,3500000
113400,0.63,7500000
113420,0.56,3500000
115100,0.93,350000
115110,0.89,350000
115120,0.82,150000
115200,0.45,75000
115210,0.66,150000
115220,0.67,150000
115320,0.71,750000
115800,0.86,350000
116100,0.6,35000
200010,0.84,350000
200020,0.41,75000
200080,0.69,35000
200130,0.77,35000
200150,0.46,10000
200170,0.85,1500000
200190,0.63,75000
200210,0.83,3500000
200230,0.62,75000
200260,0.95,3500000
200370,0.62,75000
200390,0.5,350000
200410,0.49,75000
200490,0.59,35000
200510,0.95,3500000
200550,0.37,150000
200670,0.35,150000
200710,0.94,3500000
200900,0.96,750000
200960,0.94,150000
200980,0.91,75000
200990,0.87,75000
201000,0.92,75000
201010,0.91,150000
201070,0.59,35000
201210,0.72,350000
201230,0.73,750000
201290,0.74,350000
201420,0.84,350000
201480,0.52,750000
201490,0.14,75000
201510,0.13,350000
201570,0.76,750000
201790,0.95,3500000
201810,0.9,1500000
201870,0.85,750000
202130,0.45,150000
202200,0.75,750000
202310,0.55,150000
202370,0.6,10000
202410,0.83,75000
202670,0.86,10000
202690,0.97,35000
202710,0.73,150000
202730,0.86,150000
202750,0.71,1500000
202860,0.42,75000
202970,0.85,3500000
203140,0.9,3500000
203160,0.96,7500000
203210,0.91,150000
203290,0.77,3500000
203350,0.82,350000
203510,0.86,150000
203560,0.81,75000
203630,0.86,750000
203650,0.76,350000
203680,0.76,150000
203750,0.86,750000
203770,0.88,3500000
203830,0.87,350000
203990,0.9,75000
204030,0.92,750000
204060,0.78,750000
204100,0.83,1500000
204120,0.86,350000
204180,0.84,750000
204220,0.73,350000
204240,0.89,750000
204300,0.85,3500000
204340,0.88,750000
204360,0.96,3500000
204390,0.82,35000
204440,0.81,75000
204530,0.94,350000
204560,0.25,350000
204580,0.85,10000
204630,0.89,350000
204760,0.27,10000
204860,0.65,150000
204880,0.92,3500000
204940,0.63,75000
204960,0.53,35000
205020,0.89,350000
205060,0.58,75000
205070,0.75,35000
205080,0.62,35000
205090,0.53,35000
205100,0.97,3500000
205190,0.92,350000
205230,0.86,1500000
205270,0.81,35000
205530,0.53,75000
205550,0.65,75000
205610,0.69,350000
205650,0.83,350000
205690,0.79,35000
205710,0.73,750000
205730,0.87,350000
205810,0.6,150000
205830,0.92,75000
205840,0.83,150000
205870,0.81,75000
205910,0.92,750000
205950,0.84,1500000
205990,0.66,75000
206020,0.85,75000
206040,0.81,75000
206060,0.95,75000
206190,0.97,750000
206210,0.84,3500000
206230,0.58,10000
206250,0.74,35000
206370,0.91,150000
206410,0.75,35000
206420,0.92,3500000
206440,0.97,1500000
206480,0.71,750000
206500,0.84,1500000
206610,0.37,350000
206690,0.83,350000
207000,0.6,35000
207020,0.79,75000
207080,0.92,350000
207140,0.93,1500000
207170,0.94,750000
207190,0.51,35000
207230,0.73,3500000
207250,0.72,150000
207320,0.94,150000
207350,0.95,350000
207370,0.49,75000
207380,0.87,75000
207400,0.92,75000
207420,0.71,350000
207430,0.5,150000
207490,0.93,350000
207530,0.94,75000
207570,0.82,350000
207650,0.55,350000
207670,0.45,35000
207690,0.96,350000
207710,0.63,10000
207730,0.33,75000
207750,0.85,350000
207790,0.31,35000
207930,0.69,750000
208110,0.59,75000
208140,0.8,1500000
208200,0.84,750000
208400,0.92,150000
208460,0.22,10000
208500,0.89,350000
208520,0.62,350000
208580,0.89,3500000
208600,0.83,75000
208620,0.65,75000
208630,0.8,75000
208640,0.93,75000
208650,0.72,1500000
208670,0.8,350000
208710,0.7,10000
208730,0.71,350000
208750,0.9,350000
209000,0.85,3500000
209060,0.84,75000
209080,0.91,3500000
209100,0.52,150000
209120,0.55,150000
209160,0.58,1500000
209190,0.89,350000
209230,0.83,35000
209330,0.59,350000
209360,0.75,35000
209370,0.94,150000
209390,0.22,35000
209520,0.65,75000
209540,0.78,350000
209610,0.55,35000
209630,0.83,35000
209650,0.62,750000
209670,0.68,1500000
209690,0.61,150000
209730,0.48,350000
209750,0.5,35000
209790,0.89,150000
209830,0.87,750000
209850,0.62,10000
209950,0.92,75000
210170,0.71,350000
210230,0.9,10000
210770,0.9,3500000
210870,0.91,35000
210950,0.92,150000
210970,0.84,750000
211010,0.81,75000
211160,0.46,1500000
211180,0.93,75000
211260,0.86,350000
211280,0.59,75000
211340,0.89,75000
211360,0.83,350000
211400,0.8,750000
211440,0.87,350000
211500,0.59,3500000
211580,0.52,150000
211600,0.92,750000
211740,0.94,350000
211780,0.8,75000
211800,0.76,35000
211820,0.9,3500000
